View ID,View Title,View Text,View Image,,
1,Who is Gwyn Morgan?,"Former Encana (now Ovintiv) chief executive Gwyn Morgan is quietly backing a network of think tanks, astroturf groups and rightwing media disputing the climate crisis.
",https://i.ibb.co/mCYXWdng/Gemini-Generated-Image-qcg6grqcg6grqcg6.png,,
2,Morgan's Foundation Has Donated to Various Atlas Network Groups,Text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text.,,,
3,Morgan Is a Member of the Fraser Institute,"Morgan has been listed on the board of directors at the Fraser Institute, an Atlas Network member organization, as recently as 2023.",,,
4,Charles Koch Donated to Fraser and Other Atlas Groups,Text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text text.,,,
5,Atlas Groups Have Received Funding From Morgan Associates,"The Aurea Foundation, which was run by Andrew Coyne until it ceased operations, donated to many of the same Atlas groups that Morgan has donated to. Coyne, like Morgan, is a contributor to the National Post.",,,
6,Morgan Donates to the Canada Strong and Free Network,"Morgan was a board member of and donated to the Canada Strong and Free Network (formerly the Manning Centre), an organization funding regional Canadian campaign front groups.

Many of the front groups are associated with Canada Proud, which was started by paid Conservative party booster Jeff Ballingall.",,,
7,Recipients Are Poorly Hidden Campaign Front Groups,"These groups take large donations from big companies and their CEO's and operate fully in support of conservative politicians during political campaigns, often in clear violation of Canadian election campaign law. 
",,,
8,Morgan's Involvement in Both Traditional and Sketchy Canadian Media,"Morgan has also been pushing his cause in the Canadian media space, calling for more pipelines in his writing for the National Post, supporting Pierre Polievre in paid advertising and funding Juno News (formerly True North).",,,
9,Morgan and the National Post,"Morgan has written articles for the National Post, including articles calling for new pipelines, ...MORE EXAMPLES???",,,
10,Morgan and Juno News / True North,"Morgan's foundation has contributed to the anti-immigration, climate-denying Juno News (formerly/alternatively known as True North), an organization that started as a charity but which now pushes right-wing misinformation in an online news format.

Juno News/True North writers include:
- LIST BIGGEST LOSERS AND THEIR HIGHLIGHTS, ASSOCIATIONS",,,
11,Publicly Backs Polievre in Canadian Media Campaign,"Morgan, along with dozens of other Canadian CEO's, publicly backed Pierre Poilievre with paid advertising in Canadian media during the 2025 Canadian election.

A total of $350,000 was spent on these ads, according to campaign filings, with more than half of it going to Postmedia, the company that owns the National Post.",,,
12,Overlap Between Poilievre Ad Signers and Canada Proud Donors,"Gwyn Morgan is not the only person who signed the pro-Poilievre advertisement and also donated to political campaign front groups.

Peter Gilgan, CEO of Mattamy Homes, signed the advertisement supporting Pierre Poilievre in the 2025 Canadian election. Mattamy Homes donated $100,000 to Ontario Proud in 2018 in support of Doug Ford, on top of direct donations to the Ontario Progressive Conservative party.",,,
13,How This Is Connected to Oil & Gas,"Many of the signers of the pro-Poilievre ad are executives for oil companies. Canadian oil and gas companies and their CEO's have been pushing for increased oil & gas production in Canada.

Poilievre's own statements have been largely in support of investing in Canadian oil infrastructure, including for new pipelines.

Imperial, a key member of Pathways Alliance, has donated to the Fraser Institute and the Macdonald-Laurier Institute, both Atlas Network partners.",,,
14,Pathways Alliance,"Canada's big four oil companies — Canadian Natural Resources, Cenovus, Imperial Oil and Suncor — are four of the five companies behind Pathways Alliance, who has advanced a plan to reduce oil sands emissions through carbon capture technology. 

Despite the fact that this technology has never been implemented anywhere in the world, the industry is advancing these potential emissions reductions as a justification for increased oil and gas production.

On top of this, Pathways has requested that Canadian tax payers pay for more than half of the cost of building the carbon capture infrastructure.",,How This Is Connected to Oil & Gas,"The Fraser Institute has received regular donations from Imperial Oil, which has also donated to fellow Atlas partner Macdonald Laurier Institute."
15,BLANK,BLANK,,,
16,More Oil Connections,"Michael Binnion, is a board member both the Canadian Associaton of Petroleum Producers (CAPP) and the Canada Strong and Free Network. CAPP is an oil industry organization that lobbies for increased oil production, and counts Canadian Natural Resources, Cenovus, Imperial, Suncor, Birchcliff Energy, Ovintiv and Tourmaline Oil as members.

Brian Felesky, a former director for Suncor, donated to Canada Strong and Proud in 2019 and 2025.

",,,
17,Donations to ...,"Canadian Natural Resources, a Pathways member, gave to Indian Resource Council.

Pathways member Cenovus has given to the Indigenous Resource Network and Canada Action.",,,
